customer_state,seller_state,product_weight_g,product_length_cm,product_height_cm,product_width_cm,order_purchase_timestamp,order_delivered_customer_date
ES,SP,30000,48,45,56,14/08/2017 17:11,31/08/2017 20:23
MG,SP,13350,57,56,22,20/06/2018 19:22,07/09/2018 23:28
SP,SP,8683,54,64,31,16/05/2017 15:05,25/05/2017 10:35
SC,SP,9375,55,54,19,31/07/2017 12:36,22/08/2017 17:47
RJ,SP,1350,33,10,29,18/07/2018 22:05,24/07/2018 21:36
SP,SP,9200,53,52,17,04/03/2018 22:25,18/04/2018 15:24
SP,SP,7513,53,62,26,13/07/2017 16:00,22/07/2017 16:12
ES,SP,13388,54,47,28,14/01/2018 14:17,03/03/2018 15:38
SP,SP,10075,55,64,26,17/03/2017 23:06,31/03/2017 11:08
DF,SP,1600,45,15,35,15/03/2017 16:38,24/03/2017 00:20
GO,SP,8975,35,52,36,07/07/2017 17:12,20/07/2017 17:37
ES,SP,10075,55,64,26,08/07/2018 09:17,30/08/2018 14:16
SP,SP,16650,63,61,24,19/07/2018 15:35,08/09/2018 14:42
DF,SP,8750,52,51,17,30/04/2017 17:50,16/05/2017 08:29
ES,SP,700,65,18,28,26/11/2017 23:22,19/12/2017 20:35
SP,SP,8638,51,62,26,17/04/2018 23:17,28/04/2018 21:14
MA,SP,7463,56,64,35,17/01/2018 09:15,18/02/2018 12:28
SP,SP,13867,101,8,57,06/04/2018 23:22,13/06/2018 22:36
MG,SP,1825,44,14,34,31/03/2018 18:04,17/04/2018 22:36
PA,SP,12275,40,54,38,23/04/2017 20:30,15/05/2017 15:08
PA,SP,11700,36,54,35,16/07/2018 21:58,08/08/2018 15:08
RJ,SP,675,40,18,35,19/03/2018 14:51,13/04/2018 20:19
PE,SP,10025,57,55,22,27/06/2017 11:00,07/11/2017 15:41
MS,SP,7433,57,68,31,19/03/2018 10:17,19/04/2018 20:04
SP,SP,10025,57,55,22,15/04/2018 21:49,14/05/2018 18:27
PI,SP,16450,63,62,24,20/01/2018 00:15,19/02/2018 20:19
SP,SP,11880,50,60,27,02/05/2018 17:28,03/09/2018 23:42
SP,SP,9725,53,52,17,08/07/2018 18:58,28/08/2018 12:12
ES,SP,9675,42,47,33,28/06/2018 10:28,23/07/2018 17:54
SP,SP,7463,56,64,35,16/03/2018 20:09,29/03/2018 11:18
RJ,SP,1000,40,10,30,18/08/2018 12:32,28/08/2018 02:32
DF,SP,1975,41,13,31,16/03/2017 09:05,27/03/2017 09:28
PE,SP,1700,45,15,35,24/11/2017 10:19,20/12/2017 21:53
RS,SP,12160,56,51,28,26/04/2017 16:09,18/05/2017 12:36
GO,SP,8217,52,52,17,30/06/2017 18:12,20/07/2017 18:29
CE,SP,13350,57,56,22,03/09/2018 10:11,04/10/2018 19:13
RJ,SP,2000,45,15,35,14/03/2018 17:22,16/04/2018 21:09
PE,SP,17150,58,61,24,25/07/2017 13:16,08/12/2017 12:39
SP,SP,1550,44,14,34,20/06/2018 18:44,27/06/2018 12:34
RS,SP,1825,53,10,40,13/08/2018 11:18,20/08/2018 18:36
RJ,SP,8750,52,51,17,25/07/2018 08:56,24/08/2018 20:59
PR,SP,16167,64,62,25,21/04/2017 16:28,23/05/2017 11:27
SP,SP,2400,45,15,35,20/06/2018 13:03,28/06/2018 14:37
MG,SP,1350,45,15,35,18/06/2018 22:24,28/06/2018 20:03
SP,SP,2100,45,15,35,18/07/2017 21:47,26/07/2017 17:51
RJ,SP,16650,63,58,24,27/10/2017 21:31,27/11/2017 19:44
PR,SP,1350,45,15,35,19/03/2018 09:25,14/04/2018 12:54
SP,SP,1500,45,15,35,20/09/2017 15:29,27/09/2017 21:42
MG,SP,8450,53,50,16,24/04/2017 19:14,20/05/2017 08:41
SP,SP,13388,54,47,28,15/03/2018 20:08,29/03/2018 20:04
PR,SC,10150,89,15,40,11/09/2017 09:37,21/11/2017 23:11
PB,SP,3000,45,15,35,30/08/2017 15:05,14/09/2017 11:44
PR,SP,10475,52,51,17,28/10/2017 10:52,21/11/2017 20:54
RS,SP,950,45,15,35,18/04/2017 17:12,05/06/2017 09:17
RS,SP,11875,57,55,22,18/03/2018 23:42,13/04/2018 12:11
SP,SP,3775,35,13,25,21/04/2017 14:44,16/05/2017 10:53
SP,SP,6050,40,32,40,10/09/2017 19:14,19/10/2017 22:33
RJ,SP,8750,52,51,17,17/07/2018 21:52,13/08/2018 18:16
SP,SP,1825,53,10,40,17/05/2017 09:27,22/05/2017 09:46
RJ,SP,12275,40,54,38,18/07/2017 08:33,08/09/2017 13:10
SP,SP,2050,45,15,35,16/11/2017 00:26,23/11/2017 12:30
MG,SP,8750,52,51,17,06/04/2018 17:46,18/06/2018 15:29
DF,SP,11875,57,55,22,30/05/2017 19:58,22/06/2017 12:24
SP,SP,8700,52,51,17,13/07/2017 19:56,28/07/2017 21:03
RJ,SP,550,30,5,20,14/07/2018 14:07,24/07/2018 18:24
MG,SP,7725,53,51,18,18/05/2017 12:50,06/06/2017 12:47
SP,SP,2250,45,15,35,13/05/2018 18:04,23/05/2018 18:59
SP,SP,1383,50,10,40,26/02/2018 18:27,29/03/2018 23:42
MT,SP,8450,53,50,16,31/05/2017 20:45,22/06/2017 14:34
SP,SP,1825,53,10,40,20/07/2017 05:01,26/07/2017 19:33
RJ,SP,16150,63,62,24,04/01/2018 00:27,26/04/2018 13:04
SP,SP,1550,44,14,34,14/06/2018 07:23,24/06/2018 14:12
SP,SP,1850,45,15,35,24/01/2018 16:38,02/02/2018 16:04
SP,SP,1200,45,15,35,23/02/2018 19:49,18/03/2018 16:26
SP,SP,1825,53,10,40,18/04/2017 21:54,26/04/2017 06:04
RS,SC,10150,89,15,40,12/10/2017 21:11,27/12/2017 19:33
PE,SP,1550,45,15,35,24/11/2017 10:19,20/12/2017 21:53
DF,SP,1350,45,15,35,29/01/2018 19:05,17/02/2018 14:22
RJ,SP,12650,54,54,18,27/04/2018 14:51,17/05/2018 16:54
GO,SP,11875,57,55,22,28/03/2018 07:50,28/04/2018 15:07
MG,SP,1900,45,15,35,05/05/2018 22:35,21/05/2018 22:24
SP,SP,1825,53,10,40,18/02/2018 19:39,27/02/2018 22:09
RS,SP,600,60,9,50,14/12/2017 16:45,29/12/2017 15:53
GO,SP,9725,53,52,17,15/03/2018 17:33,04/05/2018 21:14
RJ,SP,11880,50,60,27,19/09/2017 05:14,10/11/2017 16:25
RJ,SP,22900,74,68,26,09/06/2017 10:22,21/09/2017 20:02
MG,SP,2450,45,15,35,24/11/2017 15:59,21/12/2017 21:12
SP,SP,1825,53,10,40,17/09/2017 09:59,21/09/2017 13:07
RS,SP,1825,53,10,40,28/11/2017 10:17,13/12/2017 19:43
SP,SP,11880,50,60,27,24/04/2018 10:54,05/09/2018 18:33
SP,SP,12700,55,70,18,17/04/2018 22:02,23/04/2018 18:25
SP,SP,8217,52,52,17,20/07/2017 13:58,27/07/2017 22:01
MG,SP,16250,57,55,22,31/01/2017 23:37,13/02/2017 13:23
MG,SP,7575,52,52,17,29/01/2018 22:07,22/02/2018 18:07
RJ,SP,12475,53,54,18,13/01/2018 21:59,30/01/2018 15:36
RS,SP,13350,57,56,22,15/05/2018 09:22,15/06/2018 15:42
SP,SP,7725,53,51,18,21/03/2017 09:20,04/04/2017 14:33
SP,SP,7725,53,51,18,13/05/2017 09:03,27/05/2017 23:13
RJ,SP,16400,63,60,25,25/02/2018 20:07,18/04/2018 21:47
SP,SP,10475,52,51,17,12/10/2017 09:44,29/12/2017 15:57
SP,SP,19400,48,45,56,19/07/2017 13:37,31/07/2017 18:29
SP,SP,2000,45,15,35,28/11/2017 12:13,12/12/2017 21:28
RS,SP,550,50,9,60,29/08/2017 16:37,15/09/2017 21:53
PB,SP,1383,50,10,40,30/04/2017 11:07,23/05/2017 11:31
SP,SP,1383,50,10,40,06/05/2018 16:56,13/06/2018 18:48
MG,SP,12275,40,54,38,29/08/2017 00:03,19/09/2017 19:20
SP,SP,1825,53,10,40,13/07/2017 15:52,27/07/2017 15:36
SP,SP,1383,50,10,40,29/06/2017 13:01,07/08/2017 12:47
RS,SP,7563,58,65,30,02/05/2018 16:15,03/06/2018 11:29
DF,SP,15475,81,7,83,14/08/2017 18:20,29/08/2017 18:37
RJ,SP,7463,56,64,35,28/03/2018 15:01,05/04/2018 18:48
BA,SP,2600,40,45,39,28/01/2017 19:44,13/02/2017 10:32
PA,SP,8683,54,64,31,11/09/2017 00:50,28/11/2017 00:09
SC,SP,17050,63,62,24,03/02/2018 09:39,21/03/2018 18:19
SP,SP,14550,56,60,36,28/04/2018 10:24,16/05/2018 13:58
PA,SP,3300,40,15,35,21/01/2018 09:13,23/02/2018 20:43
SP,SP,3875,35,52,34,17/07/2017 08:20,28/07/2017 22:27
PB,SP,1825,44,14,34,21/09/2017 13:05,16/10/2017 19:50
SP,SP,2600,40,45,39,04/03/2017 18:20,19/04/2017 08:56
SP,SP,8809,52,52,17,27/01/2018 00:10,21/02/2018 23:33
RS,SP,11875,57,55,22,16/05/2018 09:45,14/06/2018 14:58
SP,SP,17050,63,62,24,14/10/2017 15:58,27/10/2017 16:43
RJ,SP,13867,101,8,57,17/11/2017 10:22,23/01/2018 19:06
MG,SP,9200,53,52,17,04/02/2018 11:42,26/04/2018 20:52
PR,SP,16100,63,61,24,20/11/2017 16:11,22/12/2017 17:45
MG,SP,8683,54,64,31,15/03/2018 07:45,04/05/2018 12:37
RJ,SP,6250,60,10,40,31/01/2018 15:56,02/08/2018 18:18
SP,SP,8683,54,64,31,24/04/2017 12:16,22/05/2017 17:36
PR,SP,2250,45,15,35,24/02/2018 19:47,05/04/2018 20:32
ES,SP,7463,56,64,35,05/04/2018 15:54,23/05/2018 15:32
SP,SP,1383,50,10,40,24/04/2017 06:49,05/06/2017 10:30
MG,SP,1383,50,10,40,05/04/2018 13:02,17/05/2018 16:32
MG,SP,9725,53,52,17,14/03/2018 19:48,04/05/2018 21:08
SP,SP,16167,64,62,25,08/04/2017 10:02,16/08/2017 17:44
RJ,SP,7400,54,53,20,26/04/2017 15:05,24/05/2017 16:03
GO,SP,8975,35,52,36,30/06/2017 19:41,14/07/2017 18:13
SP,SP,8900,37,41,37,18/03/2017 17:45,04/07/2017 11:30
MG,SP,1825,44,14,34,19/02/2018 22:46,27/03/2018 11:06
MA,SP,1825,44,14,34,11/12/2017 00:26,16/01/2018 23:21
RJ,SP,23900,66,42,66,20/03/2017 17:15,04/04/2017 15:49
BA,SP,10075,55,64,26,26/01/2018 20:03,04/02/2018 15:04
RJ,SP,10075,55,64,26,09/09/2017 04:42,28/09/2017 18:19
MT,SP,550,47,20,30,14/06/2018 17:08,26/06/2018 19:03
MT,SP,300,37,20,20,14/06/2018 17:08,26/06/2018 19:03
MT,SP,300,40,15,35,14/06/2018 17:08,26/06/2018 19:03
RJ,SP,13699,46,53,29,04/03/2017 18:56,18/04/2017 13:37
BA,SP,2600,40,45,39,07/07/2017 22:55,27/07/2017 18:55
SP,SP,16150,81,7,80,29/03/2018 17:18,15/04/2018 14:58
RJ,SP,17000,63,30,43,20/09/2017 22:44,10/10/2017 23:43
RJ,SP,11875,57,55,22,28/11/2017 20:16,01/04/2018 15:17
RJ,SP,8267,52,52,17,04/02/2018 18:49,19/04/2018 14:12
SP,SP,7463,56,64,35,19/05/2018 15:05,18/06/2018 21:29
SP,SP,7463,56,64,35,24/03/2018 11:58,23/04/2018 14:57
SP,SP,7463,56,64,35,22/07/2018 20:05,22/08/2018 16:22
BA,SP,3600,50,10,30,28/09/2017 20:34,19/10/2017 21:44
GO,SP,700,65,18,28,28/07/2018 14:44,08/08/2018 23:31
SP,SP,8450,53,50,16,19/03/2017 12:41,31/03/2017 09:27
RJ,SP,7417,102,46,11,12/12/2017 21:15,24/01/2018 21:38
RJ,SP,13483,48,29,40,15/05/2018 16:36,24/05/2018 16:57
RJ,SP,13483,48,29,40,21/08/2017 16:57,30/08/2017 22:56
SP,SP,17050,63,62,24,29/07/2017 12:35,15/08/2017 18:47
PI,SP,16133,63,59,25,03/08/2017 18:09,19/09/2017 14:33
SP,SP,16450,63,62,24,11/10/2017 21:49,27/11/2017 22:42
SP,SP,8217,52,52,17,30/03/2018 19:08,16/04/2018 23:12
SP,SP,16150,81,7,80,25/02/2018 15:27,15/03/2018 18:03
SP,SP,11875,57,55,22,30/03/2018 23:27,04/06/2018 17:49
AL,SP,1825,53,10,40,21/11/2017 12:27,27/12/2017 20:49
SP,SP,17050,63,62,24,29/03/2018 18:43,16/04/2018 20:33
RJ,SP,7513,53,62,26,17/07/2017 22:51,31/07/2017 18:09
SP,SP,350,45,15,35,06/04/2018 17:03,21/06/2018 18:21
PA,SP,11700,36,54,35,23/03/2017 11:59,05/05/2017 13:44
RJ,SP,1350,45,15,35,03/02/2018 16:12,14/04/2018 12:38
RJ,SP,9183,52,52,18,23/04/2018 14:31,16/05/2018 18:19
BA,SP,1100,45,15,35,29/04/2017 20:01,24/05/2017 13:56
BA,SP,900,24,5,20,24/11/2017 09:14,19/12/2017 00:23
SP,SP,15475,81,7,83,28/01/2018 16:30,20/02/2018 21:27
RJ,SP,13867,101,8,57,13/11/2017 17:12,30/12/2017 15:43
SP,SP,16133,63,59,25,06/04/2018 06:25,26/06/2018 00:21
ES,SP,8975,57,57,22,23/08/2017 14:29,09/11/2017 19:47
RJ,SP,950,45,15,35,22/11/2017 14:27,01/03/2018 20:58
SP,SP,2600,40,45,39,07/06/2017 14:05,20/07/2017 17:33
SP,SP,8809,52,52,17,28/11/2017 18:13,30/12/2017 13:13
ES,SP,8683,54,64,31,04/03/2018 17:25,27/04/2018 14:37
MG,SP,12250,63,58,24,07/05/2017 08:48,19/07/2017 17:06
MG,SP,7513,53,62,26,07/07/2017 11:23,19/07/2017 12:52
SP,SP,7433,57,68,31,07/05/2017 13:05,21/07/2017 19:31
SP,SP,8217,52,52,17,29/07/2017 08:54,14/08/2017 16:18
RJ,SP,8683,54,64,31,28/04/2017 16:55,16/05/2017 16:04
GO,SP,7400,54,53,20,29/03/2017 23:16,18/04/2017 14:29
RJ,SP,13050,45,15,35,15/07/2018 16:45,24/07/2018 20:31
BA,SP,11875,57,55,22,30/11/2017 22:49,01/03/2018 22:51
SP,SP,7480,53,48,26,13/03/2018 11:29,29/03/2018 18:17
CE,SP,8267,52,52,17,06/04/2018 20:28,28/06/2018 20:25
RJ,SP,10075,55,64,26,24/02/2018 20:28,22/03/2018 23:58
SP,SP,5200,45,15,35,29/07/2018 09:51,08/09/2018 20:55
RJ,SP,16650,63,61,24,24/02/2018 21:26,05/07/2018 22:31
RS,SP,9725,53,52,17,22/03/2017 08:01,04/05/2017 15:42
PR,SP,15150,63,30,43,03/04/2018 15:58,26/04/2018 16:35
RJ,SP,8200,53,74,18,29/03/2018 23:56,18/04/2018 15:37
SC,SP,7480,53,48,26,02/05/2018 12:14,03/06/2018 20:04
MG,SP,16450,63,62,24,13/11/2017 14:40,21/12/2017 21:41
RJ,SP,300,20,20,20,25/03/2018 17:18,24/04/2018 18:18
SP,SP,10475,52,51,17,02/03/2018 12:14,03/06/2018 18:37
SP,SP,950,45,15,35,06/01/2017 16:23,13/06/2017 11:28
MG,SP,3300,40,15,35,07/06/2017 10:14,21/07/2017 16:52
SP,SP,16150,81,7,80,21/01/2018 16:37,14/02/2018 18:59
RJ,SP,8267,52,52,17,19/07/2018 20:33,08/10/2018 22:03
GO,SP,1600,45,15,35,05/05/2017 16:46,22/05/2017 14:43
SP,SP,10667,58,58,19,20/07/2018 23:27,27/08/2018 15:26
SP,SP,10475,52,51,17,31/03/2018 14:20,04/07/2018 00:06
BA,SP,10475,52,51,17,04/02/2017 18:22,15/05/2017 13:48
AL,SP,13350,57,56,22,23/05/2018 09:40,28/06/2018 16:05
ES,SP,2600,40,45,39,29/06/2017 08:47,14/07/2017 21:05
SP,SP,8217,52,52,17,18/06/2017 14:14,29/06/2017 14:33
PI,SP,13388,54,47,28,16/07/2017 02:28,29/08/2017 22:26
RS,SP,1383,50,10,40,13/05/2017 15:28,25/05/2017 10:24
SP,SP,4950,36,41,36,31/05/2017 20:18,26/06/2017 13:17
SP,SP,3500,45,15,35,13/07/2017 22:45,25/07/2017 22:14
PE,SP,1383,50,10,40,07/06/2017 10:06,24/07/2017 19:17
RS,SP,1383,50,10,40,22/04/2017 15:50,05/05/2017 13:27
MG,SP,3125,45,55,16,02/01/2017 22:23,14/02/2017 10:54
SP,SP,10025,57,55,22,27/03/2018 10:06,17/04/2018 18:03
MT,SP,7183,56,56,18,15/05/2018 21:59,29/06/2018 22:31
GO,SP,1825,44,14,34,04/04/2018 14:21,23/04/2018 21:49
RJ,SP,8683,54,64,31,29/01/2018 21:04,22/02/2018 22:09
BA,SP,7513,53,62,26,16/07/2017 18:06,08/08/2017 10:46
MA,SP,11880,50,60,27,20/03/2018 15:19,24/04/2018 22:46
MG,SP,7513,53,62,26,19/08/2017 07:45,31/08/2017 19:46
SP,SP,9813,45,64,39,12/11/2017 19:26,28/12/2017 15:52
ES,SP,800,45,15,35,04/03/2018 17:11,23/04/2018 15:22
BA,SP,7433,57,68,31,17/07/2017 13:32,08/08/2017 19:20
PR,SP,19067,50,50,52,13/07/2017 19:40,31/07/2017 17:37
SC,SP,13388,54,47,28,22/01/2018 10:01,28/02/2018 14:05
RJ,SP,15475,81,7,83,23/01/2018 18:37,13/04/2018 13:33
MT,SP,17050,63,62,24,15/01/2018 15:43,22/02/2018 21:25
SP,SP,12160,56,51,28,13/03/2018 16:06,28/03/2018 16:04
BA,SP,7463,56,64,35,28/06/2017 15:31,24/07/2017 16:41
SP,SP,950,45,15,35,11/06/2017 19:40,22/11/2017 18:12
MG,SP,7575,52,52,17,29/07/2017 21:47,08/09/2017 18:00
BA,SP,8683,54,64,31,13/02/2017 16:22,13/03/2017 11:14
SP,SP,8267,52,52,17,19/05/2018 16:07,14/06/2018 17:58
MT,SP,2600,40,45,39,26/02/2018 17:17,26/03/2018 15:06
SP,SP,700,65,18,28,26/01/2017 22:15,02/03/2017 16:42
BA,SP,8683,54,64,31,27/03/2018 15:37,25/04/2018 16:32
MG,SP,700,65,18,28,07/02/2017 18:35,19/07/2017 18:15
SP,SP,15467,64,62,25,22/05/2018 22:07,06/09/2018 00:06
SP,SP,5550,45,15,35,24/09/2017 23:48,13/10/2017 20:43
BA,SP,12775,37,65,36,24/04/2018 17:06,21/05/2018 18:18
BA,SP,200,45,15,35,19/02/2018 10:13,29/03/2018 12:58
RJ,SP,1800,45,15,35,22/02/2017 13:20,03/07/2017 16:42
SP,SP,2150,40,10,30,30/08/2017 22:01,09/11/2017 14:58
RJ,SP,12700,55,70,18,14/11/2017 22:01,28/12/2017 17:29
RJ,SP,23375,66,43,66,20/11/2017 12:47,28/12/2017 17:19
RJ,SP,13867,101,8,57,03/05/2018 13:32,04/07/2018 00:58
AL,SP,2600,40,45,39,31/10/2017 12:22,21/11/2017 18:46
RS,SP,1383,50,10,40,25/08/2017 17:04,15/09/2017 20:35
GO,SP,10500,52,50,16,29/03/2018 00:48,26/04/2018 23:05
SP,SP,8683,54,64,31,04/03/2018 21:24,24/04/2018 21:14
SP,SP,8200,52,52,17,25/07/2018 13:20,23/08/2018 21:27
DF,SP,17033,101,8,57,14/05/2018 09:19,16/06/2018 01:22
SP,SP,1300,45,15,35,08/07/2017 15:13,18/09/2017 16:57
RS,SP,1383,50,10,40,25/01/2018 13:11,16/02/2018 19:26
BA,SP,8000,53,74,18,19/01/2018 23:04,22/02/2018 16:21
SP,SP,7850,52,51,17,21/01/2018 09:03,23/02/2018 20:49
RJ,SP,11700,36,54,35,18/04/2018 12:35,05/07/2018 16:40
SP,SP,16133,63,59,25,17/04/2018 12:34,05/07/2018 18:58
RS,SP,1825,53,10,40,16/01/2018 01:11,02/03/2018 17:34
RS,SP,16800,63,58,24,13/07/2017 21:03,25/08/2017 19:41
SP,SP,12700,55,70,18,04/01/2018 17:51,14/04/2018 01:11
MG,SP,9300,53,74,18,08/07/2017 13:04,22/08/2017 18:26
SP,SP,2200,45,15,35,03/02/2017 05:10,20/03/2017 08:17
BA,SP,11875,57,55,22,07/05/2017 12:24,29/07/2017 16:22
RJ,SP,12275,40,54,38,21/07/2018 12:43,08/10/2018 14:40
SP,SP,1825,53,10,40,06/05/2018 12:14,16/06/2018 22:42
RJ,SP,2600,40,45,39,29/04/2017 17:38,18/05/2017 12:36
SP,SP,1383,50,10,40,29/04/2018 16:27,05/07/2018 18:08
SP,SP,12160,56,51,28,24/07/2018 12:01,17/08/2018 23:51
MT,SP,1383,50,10,40,30/04/2018 17:31,28/05/2018 18:42
MT,SP,6267,36,40,36,21/09/2017 09:33,19/10/2017 16:04
SE,SP,1383,50,10,40,31/10/2017 13:12,21/11/2017 21:09
RJ,SP,11500,48,30,35,21/09/2017 19:19,13/10/2017 15:18
SP,SP,1383,50,10,40,23/02/2018 08:34,03/05/2018 15:10
RJ,SP,1383,50,10,40,08/04/2017 10:46,15/08/2017 14:43
RS,SP,900,30,10,20,18/08/2017 19:49,19/09/2017 15:07
PR,SP,1825,53,10,40,23/12/2017 15:48,01/03/2018 19:05
PR,SP,9750,42,41,42,04/02/2017 15:39,20/04/2017 07:24
RJ,SP,13350,57,56,22,23/06/2018 12:20,07/10/2018 22:34
DF,SP,17050,63,62,24,25/01/2018 13:21,16/03/2018 00:18
MG,SP,2600,40,45,39,19/01/2018 00:35,19/02/2018 17:12
DF,SP,11875,57,55,22,16/11/2017 19:11,26/12/2017 15:45
RJ,SP,7400,54,53,20,04/01/2017 21:57,13/04/2017 14:26
GO,SP,1900,45,15,35,23/11/2017 22:53,29/12/2017 14:51
PR,SP,13388,54,47,28,23/01/2018 16:14,26/02/2018 14:29
SP,SP,100,45,15,35,26/04/2017 07:45,05/08/2017 08:13
SP,SP,1383,50,10,40,24/03/2018 11:32,04/06/2018 18:32
DF,SP,9750,42,41,42,05/04/2017 15:49,26/05/2017 16:14
MT,SP,3300,40,15,35,25/05/2017 14:29,06/07/2017 17:41
MG,SP,8975,35,52,36,06/02/2017 12:09,23/06/2017 11:12
SP,SP,15475,81,7,83,19/07/2018 14:58,08/09/2018 14:33
SP,SP,12333,55,54,19,19/03/2018 14:32,04/07/2018 01:22
GO,SP,6000,37,41,37,26/07/2017 13:43,08/09/2017 19:03
RJ,SP,12325,54,64,18,22/04/2018 18:56,05/07/2018 20:18
RJ,SP,8750,52,51,17,21/06/2018 00:22,07/09/2018 22:51
SP,SP,8450,53,50,16,22/03/2017 19:47,04/05/2017 17:27
SP,SP,7850,52,51,17,02/01/2017 23:33,14/02/2017 14:49
RJ,SP,2600,40,45,39,28/02/2018 16:11,29/03/2018 01:28
SP,SP,2150,40,10,30,03/01/2018 23:48,16/03/2018 10:57
DF,SP,9725,53,52,17,08/07/2017 16:58,23/08/2017 16:55
GO,SP,3500,45,15,35,07/06/2017 10:09,18/07/2017 21:06
BA,SP,7433,57,68,31,24/07/2017 19:48,08/09/2017 20:53
SP,SP,6800,53,58,18,06/01/2018 08:56,21/06/2018 00:05
RJ,SP,13350,57,56,22,14/06/2017 15:07,07/10/2017 13:28
SP,SP,5050,45,15,35,26/01/2017 16:25,02/03/2017 17:23
SP,SP,1850,40,10,30,22/03/2018 11:48,04/06/2018 10:03
SP,SP,8300,53,51,18,29/09/2017 11:08,10/11/2017 19:45
RJ,SP,10125,57,55,22,19/07/2018 07:38,08/10/2018 23:06
RJ,SP,12775,53,52,17,24/03/2018 12:59,23/05/2018 00:28
BA,SP,10075,55,64,26,16/03/2017 19:20,04/05/2017 13:03
MG,SP,12700,57,54,21,22/08/2017 20:29,09/12/2017 19:42
BA,SP,17050,63,62,24,20/07/2017 17:33,08/11/2017 19:59
SP,SP,3500,45,15,35,14/06/2017 23:30,26/07/2017 18:06
RJ,SP,9183,52,52,18,03/01/2018 02:35,04/03/2018 23:31
PR,SP,17050,63,62,24,04/02/2018 17:37,20/04/2018 23:04
SP,SP,2600,40,45,39,07/05/2017 17:22,27/07/2017 14:13
SP,SP,2400,40,15,35,06/03/2017 18:37,14/06/2017 14:44
SP,SP,9150,35,52,35,05/01/2017 12:56,22/05/2017 11:44
SP,SP,16125,81,7,83,03/01/2018 18:22,29/03/2018 20:35
SP,SP,11875,57,55,22,23/05/2018 20:37,06/09/2018 12:48
SP,SP,2400,45,15,35,25/02/2018 16:20,03/05/2018 10:45
SC,SP,8683,54,64,31,17/06/2017 14:44,07/08/2017 12:21
SP,SC,10150,89,15,40,30/06/2018 07:43,07/11/2018 01:14
MG,SP,1825,53,10,40,09/03/2017 16:57,14/09/2017 19:47
SP,SP,22900,74,68,26,12/12/2017 15:27,01/04/2018 18:14
GO,SP,16133,63,59,25,03/02/2018 16:25,29/03/2018 04:26
RS,SC,10150,89,15,40,20/12/2017 20:52,01/03/2018 21:34
SP,SP,1550,44,14,34,24/02/2018 19:43,04/05/2018 16:37
RS,SP,1383,50,10,40,06/05/2017 21:14,23/06/2017 11:02
SP,SP,10075,55,64,26,08/06/2018 11:34,27/08/2018 18:38
RS,SP,10075,53,51,18,28/07/2017 16:03,08/11/2017 15:04
SP,SP,10975,53,51,18,31/03/2018 14:20,04/07/2018 00:06
RJ,SP,10075,53,51,18,07/05/2017 12:01,24/07/2017 14:52
MT,SP,8683,54,64,31,18/03/2017 23:04,30/05/2017 09:19
SP,SP,1550,45,15,35,08/03/2017 18:07,08/08/2017 16:52
RJ,SP,8683,54,64,31,22/03/2018 10:58,21/05/2018 17:52
SP,SP,7725,53,51,18,29/05/2017 15:22,06/08/2017 17:36
SP,SP,5850,45,55,16,21/01/2018 11:47,02/07/2018 15:53
SP,SP,20100,45,15,35,31/07/2017 12:28,08/09/2017 18:15
PR,SP,7463,56,64,35,06/01/2018 15:20,20/06/2018 00:58
SP,SP,8809,52,52,17,03/01/2018 14:20,20/03/2018 20:02
RS,SP,8267,52,52,17,25/06/2018 16:16,07/10/2018 18:21
SP,SP,1700,45,15,35,05/03/2017 11:24,16/05/2017 11:24
SP,SP,7463,56,64,35,17/04/2018 10:16,05/07/2018 10:55
RJ,SP,12700,55,70,18,22/04/2018 18:56,05/07/2018 20:18
BA,SP,1950,45,15,35,28/05/2017 13:55,06/08/2017 14:36
DF,SP,28600,41,43,91,21/09/2017 22:00,10/12/2017 12:29
SP,SP,1050,23,93,118,24/05/2017 12:43,06/08/2017 14:22
SP,SP,8809,52,52,17,17/03/2018 15:21,04/06/2018 01:23
MG,SP,7513,53,62,26,08/07/2017 03:53,28/08/2017 18:35
RJ,SP,16617,101,8,57,03/01/2018 09:38,26/04/2018 12:27
SP,SP,800,45,15,35,18/02/2018 13:38,03/07/2018 19:49
SP,SP,12275,40,54,38,24/04/2017 17:26,05/09/2017 07:46
PA,SP,7433,57,68,31,16/06/2018 08:33,07/11/2018 17:44
SP,SP,16450,63,62,24,04/02/2018 23:19,18/04/2018 22:21
MG,SP,17050,63,62,24,17/03/2017 18:39,04/07/2017 14:08
MA,SP,12675,48,49,40,07/05/2017 15:48,26/07/2017 21:22
RJ,SP,1550,45,15,35,06/03/2017 18:27,16/06/2017 11:32
MG,SP,10075,55,64,26,21/04/2018 12:48,05/08/2018 20:56
BA,SP,700,65,18,28,09/07/2017 23:09,13/10/2017 21:17
SP,SP,12775,37,65,36,06/02/2018 15:35,21/06/2018 00:14
CE,SP,11875,57,55,22,05/02/2018 12:21,20/06/2018 22:04
SP,SP,12275,40,54,38,05/01/2017 10:53,22/05/2017 16:53
SP,SP,1825,53,10,40,03/01/2018 12:53,23/03/2018 20:48
PE,SP,5275,37,41,37,11/06/2017 17:00,28/11/2017 00:38
RJ,SP,16400,57,55,22,18/07/2018 12:59,08/10/2018 21:38
PR,SP,400,45,15,35,18/01/2018 17:15,02/05/2018 16:04
